"Mercado","A_MAT_Un_Act"
"ACT","615870.0"
"ALF","1486726.0"
"ANA TOPICO","2906605.0"
"ANA/ANP/DXV","55276891.0"
"ART","1586529.0"
"ATU","3116468.0"
"AZE","1089873.0"
"B+A","1522237.0"
"B+C","585986.0"
"B+D","1152127.0"
"B+E","3813843.0"
"B19","922632.0"
"BAA","2776369.0"
"BAH","2847106.0"
"BAP","1346512.0"
"BAS","4751403.0"
"BAT","4428665.0"
"BAX","6444815.0"
"BBF","1720694.0"
"BDM","4035208.0"
"BIL","165198.0"
"BIZ","916066.0"
"CAD","6423163.0"
"CEL","3756686.0"
"CHI/CHP","547496.0"
"CVL","5309016.0"
"D12","3409767.0"
"DIA","378336.0"
"DIG","2279576.0"
"DIP","3816542.0"
"DIU","2186281.0"
"DIX","2715315.0"
"DRI","984984.0"
"ESV","1594855.0"
"EXI","1415641.0"
"FLO","2240455.0"
"FUR","477791.0"
"GLF","1092243.0"
"GLI","10089375.0"
"GLM","2142969.0"
"GLP","3784273.0"
"GLS","8770157.0"
"GLU","1812993.0"
"HUM","402285.0"
"HUN","2802281.0"
"HYA","2663.0"
"IBL","5300535.0"
"INA","1052454.0"
"LCO","162036.0"
"LIP","2280382.0"
"LKC","331617.0"
"LUC","1467584.0"
"LUK","1133281.0"
"MEZ","235051.0"
"NAC","7642000.0"
"NAS","961318.0"
"NER","64992.0"
"NEX","968540.0"
"NEY","10027179.0"
"NIX","9344146.0"
"NO ASIGNADO","380855226.0"
"NOB","216442.0"
"NOC","1816921.0"
"OCT","451925.0"
"PAK","891888.0"
"PIM","16132.0"
"PRA","2925671.0"
"PRD","2882872.0"
"PRM","9792605.0"
"RAC","767222.0"
"REZ","2014641.0"
"ROS","15982004.0"
"RUB","225117.0"
"SAK","11856.0"
"SEP","1937455.0"
"SER","2930938.0"
"SIMC/VIT","347788.0"
"SIMD","110441.0"
"SIMDE","1598933.0"
"SIME","100761.0"
"SIMF","3029279.0"
"SIMO","971682.0"
"TOK","1544854.0"
"TRA","6296534.0"
"TRK","3030842.0"
"TRM","5520393.0"
"TYP","631210.0"
"ULV","9459471.0"
"ULZ","1140062.0"
"UPV","4820353.0"